ALUMINUM_AGRINIUM,aluminum_agrinium,Agrinium Aluminum,
MEAT_INSECT_LOK,meat_insect_lok,Lokian Insect Meat,
MEAT_INSECT_NABOO,meat_insect_naboo,Nabooian Insect Meat,
MEAT_INSECT_RORI,meat_insect_rori,Rori Insect Meat,
MEAT_INSECT_TALUS,meat_insect_talus,Talusian Insect Meat,
MEAT_INSECT_TATOOINE,meat_insect_tatooine,Tatooinian Insect Meat,
MEAT_INSECT_YAVIN4,meat_insect_yavin4,Yavinian Insect Meat,
MEAT_REPTILIAN_CORELLIA,meat_reptilian_corellia,Corellian Reptillian Meat,
MEAT_REPTILIAN_DANTOOINE,meat_reptilian_dantooine,Dantooine Reptillian Meat,
MEAT_REPTILIAN_DATHOMIR,meat_reptilian_dathomir,Dathomirian Reptillian Meat,
MEAT_REPTILIAN_ENDOR,meat_reptilian_endor,Endorian Reptillian Meat,
MEAT_REPTILIAN_LOK,meat_reptilian_lok,Lokian Reptillian Meat,
MEAT_REPTILIAN_NABOO,meat_reptilian_naboo,Nabooian Reptillian Meat,
MEAT_REPTILIAN_RORI,meat_reptilian_rori,Rori Reptillian Meat,
MEAT_REPTILIAN_TALUS,meat_reptilian_talus,Talusian Reptillian Meat,
MEAT_REPTILIAN_TATOOINE,meat_reptilian_tatooine,Tatooinian Reptillian Meat,
MEAT_REPTILIAN_YAVIN4,meat_reptilian_yavin4,Yavinian Reptillian Meat,
MEAT_WILD_CORELLIA,meat_wild_corellia,Corellian Wild Meat,
MEAT_WILD_DANTOOINE,meat_wild_dantooine,Dantooine Wild Meat,
MEAT_WILD_DATHOMIR,meat_wild_dathomir,Dathomirian Wild Meat,
MEAT_WILD_ENDOR,meat_wild_endor,Endorian Wild Meat,
MEAT_WILD_LOK,meat_wild_lok,Lokian Wild Meat,
MEAT_WILD_NABOO,meat_wild_naboo,Nabooian Wild Meat,
MEAT_WILD_RORI,meat_wild_rori,Rori Wild Meat,
MEAT_WILD_TALUS,meat_wild_talus,Talusian Wild Meat,
MEAT_WILD_TATOOINE,meat_wild_tatooine,Tatooinian Wild Meat,
MEAT_WILD_YAVIN4,meat_wild_yavin4,Yavinian Wild Meat,
METAL_FERROUS_UNKNOWN,metal_ferrous_unknown,Unknown Ferrous Metal,
METAL_NONFERROUS_UNKNOWN,metal_nonferrous_unknown,Unknown Non-Ferrous Metal,
MILK_DOMESTICATED_CORELLIA,milk_domesticated_corellia,Corellian Domesticated Milk,
MILK_DOMESTICATED_DANTOOINE,milk_domesticated_dantooine,Dantooine Domesticated Milk,
MILK_DOMESTICATED_DATHOMIR,milk_domesticated_dathomir,Dathomirian  Domesticated Milk,
MILK_DOMESTICATED_ENDOR,milk_domesticated_endor,Endorian Domesticated Milk,
MILK_DOMESTICATED_LOK,milk_domesticated_lok,Lokian Domesticated Milk,
MILK_DOMESTICATED_NABOO,milk_domesticated_naboo,Nabooian Domesticated Milk,
MILK_DOMESTICATED_RORI,milk_domesticated_rori,Rori Domesticated Milk,
MILK_DOMESTICATED_TALUS,milk_domesticated_talus,Talusian Domesticated Milk,
MILK_DOMESTICATED_TATOOINE,milk_domesticated_tatooine,Tatooinian Domesticated Milk,
MILK_DOMESTICATED_YAVIN4,milk_domesticated_yavin4,Yavinian Domesticated Milk,
MILK_WILD_CORELLIA,milk_wild_corellia,Corellian Wild Milk,
MILK_WILD_DANTOOINE,milk_wild_dantooine,Dantooine Wild Milk,
MILK_WILD_DATHOMIR,milk_wild_dathomir,Dathomirian Wild Milk,
MILK_WILD_ENDOR,milk_wild_endor,Endorian Wild Milk,
MILK_WILD_LOK,milk_wild_lok,Lokian Wild Milk,
MILK_WILD_NABOO,milk_wild_naboo,Nabooian Wild Milk,
MILK_WILD_RORI,milk_wild_rori,Rori Wild Milk,
MILK_WILD_TALUS,milk_wild_talus,Talusian Wild Milk,
MILK_WILD_TATOOINE,milk_wild_tatooine,Tatooinian Wild Milk,
MILK_WILD_YAVIN4,milk_wild_yavin4,Yavin IV Wild Milk,
OATS_DOMESTICATED_CORELLIA,oats_domesticated_corellia,Corellian Domesticated Oats,
OATS_DOMESTICATED_DANTOOINE,oats_domesticated_dantooine,Dantooine Domesticated Oats,
OATS_DOMESTICATED_DATHOMIR,oats_domesticated_dathomir,Dathomirian Domesticated Oats,
OATS_DOMESTICATED_ENDOR,oats_domesticated_endor,Endorian Domesticated Oats,
OATS_DOMESTICATED_LOK,oats_domesticated_lok,Lokian Domesticated Oats,
OATS_DOMESTICATED_NABOO,oats_domesticated_naboo,Nabooian Domesticated Oats,
OATS_DOMESTICATED_RORI,oats_domesticated_rori,Rori Domesticated Oats,
OATS_DOMESTICATED_TALUS,oats_domesticated_talus,Talusian Domesticated Oats,
OATS_DOMESTICATED_TATOOINE,oats_domesticated_tatooine,Tatooinian Domesticated Oats,
OATS_DOMESTICATED_YAVIN4,oats_domesticated_yavin4,Yavinian Domesticated Oats,
OATS_WILD_CORELLIA,oats_wild_corellia,Corellian Wild Oats,
OATS_WILD_DANTOOINE,oats_wild_dantooine,Dantooine Wild Oats,
OATS_WILD_DATHOMIR,oats_wild_dathomir,Dathomirian Wild Oats,
OATS_WILD_ENDOR,oats_wild_endor,Endorian Wild Oats,
OATS_WILD_LOK,oats_wild_lok,Lokian Wild Oats,
OATS_WILD_NABOO,oats_wild_naboo,Nabooian Wild Oats,
OATS_WILD_RORI,oats_wild_rori,Rori Wild Oats,
OATS_WILD_TALUS,oats_wild_talus,Talusian Wild Oats,
OATS_WILD_TATOOINE,oats_wild_tatooine,Tatooinian Wild Oats,
OATS_WILD_YAVIN4,oats_wild_yavin4,Yavinian Wild Oats,
ORE_CARBONATE_ALANTIUM,ore_carbonate_alantium,Alantium Carbonate Ore,
ORE_CARBONATE_BARTHIERIUM,ore_carbonate_barthierium,Barthierium Carbonate Ore,
ORE_CARBONATE_CHROMITE,ore_carbonate_chromite,Chromite Carbonate Ore,
ORE_CARBONATE_FRASIUM,ore_carbonate_frasium,Frasium Carbonate Ore,
ORE_CARBONATE_LOMMITE,ore_carbonate_lommite,Lommite Carbonate Ore,
ORE_CARBONATE_OSTRINE,ore_carbonate_ostrine,Ostrine Carbonate Ore,
ORE_CARBONATE_VARIUM,ore_carbonate_varium,Varium Carbonate Ore,
ORE_CARBONATE_ZINSIAM,ore_carbonate_zinsiam,Zinsiam Carbonate Ore,
ORE_EXTRUSIVE_BENE,ore_extrusive_bene,Bene Extrusive Ore,
ORE_EXTRUSIVE_CHRONAMITE,ore_extrusive_chronamite,Chronamite Extrusive Ore,
ORE_EXTRUSIVE_ILIMIUM,ore_extrusive_ilimium,Ilimium Extrusive Ore,
ORE_EXTRUSIVE_KALONTERIUM,ore_extrusive_kalonterium,Kalonterium Extrusive Ore,
ORE_EXTRUSIVE_KESCHEL,ore_extrusive_keschel,Keschel Extrusive Ore,
ORE_EXTRUSIVE_LIDIUM,ore_extrusive_lidium,Lidium Extrusive Ore,
ORE_EXTRUSIVE_MARANIUM,ore_extrusive_maranium,Maranium Extrusive Ore,
ORE_EXTRUSIVE_PHOLOKITE,ore_extrusive_pholokite,Pholokite Extrusive Ore,
ORE_EXTRUSIVE_QUADRENIUM,ore_extrusive_quadrenium,Quadrenium Extrusive Ore,
ORE_EXTRUSIVE_VINTRIUM,ore_extrusive_vintrium,Vintrium Extrusive Ore,
ORE_IGNEOUS_UNKNOWN,ore_igneous_unknown,Unknown Igneous Ore,
ORE_INTRUSIVE_BERUBIUM,ore_intrusive_berubium,Berubium Intrusive Ore,
ORE_INTRUSIVE_CHANLON,ore_intrusive_chanlon,Chanlon Intrusive Ore,
ORE_INTRUSIVE_CORINTIUM,ore_intrusive_corintium,Corintium Intrusive Ore,
ORE_INTRUSIVE_DERILLIUM,ore_intrusive_derillium,Derillium Intrusive Ore,
ORE_INTRUSIVE_DYLINIUM,ore_intrusive_dylinium,Dylinium Intrusive Ore,
ORE_INTRUSIVE_HOLLINIUM,ore_intrusive_hollinium,Hollinium Intrusive Ore,
ORE_INTRUSIVE_IONITE,ore_intrusive_ionite,Ionite Intrusive Ore,
ORE_INTRUSIVE_KATRIUM,ore_intrusive_katrium,Katrium Intrusive Ore,
ORE_INTRUSIVE_ORIDIUM,ore_intrusive_oridium,Oridium Intrusive Ore,
ORE_SEDIMENTARY_UNKNOWN,ore_sedimentary_unknown,Unknown Sedimentary Ore,
ORE_SILICLASTIC_ARDANIUM,ore_siliclastic_ardanium,Ardanium Siliclastic Ore,
ORE_SILICLASTIC_CORTOSIS,ore_siliclastic_cortosis,Cortosis Siliclastic Ore,
ORE_SILICLASTIC_CRISM,ore_siliclastic_crism,Crism Siliclastic Ore,
ORE_SILICLASTIC_FERMIONIC,ore_siliclastic_fermionic,Fermionic Siliclastic Ore,
ORE_SILICLASTIC_MALAB,ore_siliclastic_malab,Malab Siliclastic Ore,
ORE_SILICLASTIC_ROBINDUN,ore_siliclastic_robindun,Robindun Siliclastic Ore,
ORE_SILICLASTIC_TERTIAN,ore_siliclastic_tertian,Tertian Siliclastic Ore,
PETROCHEM_FUEL_LIQUID_TYPE1,petrochem_fuel_liquid_type1,Class 1 Liquid Petro Fuel,
PETROCHEM_FUEL_LIQUID_TYPE2,petrochem_fuel_liquid_type2,Class 2 Liquid Petro Fuel,
PETROCHEM_FUEL_LIQUID_TYPE3,petrochem_fuel_liquid_type3,Class 3 Liquid Petro Fuel,
PETROCHEM_FUEL_LIQUID_TYPE4,petrochem_fuel_liquid_type4,Class 4 Liquid Petro Fuel,
PETROCHEM_FUEL_LIQUID_TYPE5,petrochem_fuel_liquid_type5,Class 5 Liquid Petro Fuel,
PETROCHEM_FUEL_LIQUID_TYPE6,petrochem_fuel_liquid_type6,Class 6 Liquid Petro Fuel,
PETROCHEM_FUEL_LIQUID_TYPE7,petrochem_fuel_liquid_type7,Class 7 Liquid Petro Fuel,
PETROCHEM_FUEL_LIQUID_UNKNOWN,petrochem_fuel_liquid_unknown,Unknown Liquid Petrochem Fuel,
PETROCHEM_FUEL_SOLID_TYPE1,petrochem_fuel_solid_type1,Class 1 Solid Petro Fuel,
PETROCHEM_FUEL_SOLID_TYPE2,petrochem_fuel_solid_type2,Class 2 Solid Petro Fuel,
PETROCHEM_FUEL_SOLID_TYPE3,petrochem_fuel_solid_type3,Class 3 Solid Petro Fuel,
PETROCHEM_FUEL_SOLID_TYPE4,petrochem_fuel_solid_type4,Class 4 Solid Petro Fuel,
PETROCHEM_FUEL_SOLID_TYPE5,petrochem_fuel_solid_type5,Class 5 Solid Petro Fuel,
PETROCHEM_FUEL_SOLID_TYPE6,petrochem_fuel_solid_type6,Class 6 Solid Petro Fuel,
PETROCHEM_FUEL_SOLID_TYPE7,petrochem_fuel_solid_type7,Class 7 Solid Petro Fuel,
PETROCHEM_FUEL_SOLID_UNKNOWN,petrochem_fuel_solid_unknown,Unknown Solid Petrochem Fuel,
PETROCHEM_INERT_LUBRICATING_OIL,petrochem_inert_lubricating_oil,Lubricating Oil,
PETROCHEM_INERT_POLYMER,petrochem_inert_polymer,Polymer,
RADIOACTIVE_POLYMETRIC,radioactive_polymetric,High Grade Polymetric Radioactive,
RADIOACTIVE_TYPE1,radioactive_type1,Class 1 Radioactive,
RADIOACTIVE_TYPE2,radioactive_type2,Class 2 Radioactive,
RADIOACTIVE_TYPE3,radioactive_type3,Class 3 Radioactive,
RADIOACTIVE_TYPE4,radioactive_type4,Class 4 Radioactive,
RADIOACTIVE_TYPE5,radioactive_type5,Class 5 Radioactive,
RADIOACTIVE_TYPE6,radioactive_type6,Class 6 Radioactive,
RADIOACTIVE_TYPE7,radioactive_type7,Class 7 Radioactive,
RADIOACTIVE_UNKNOWN,radioactive_unknown,Unknown Radioactive,
RICE_DOMESTICATED_CORELLIA,rice_domesticated_corellia,Corellian Domesticated Rice,
RICE_DOMESTICATED_DANTOOINE,rice_domesticated_dantooine,Dantooine Domesticated Rice,
RICE_DOMESTICATED_DATHOMIR,rice_domesticated_dathomir,Dathomirian Domesticated Rice,
RICE_DOMESTICATED_ENDOR,rice_domesticated_endor,Endorian Domesticated Rice,
RICE_DOMESTICATED_LOK,rice_domesticated_lok,Lokian Domesticated Rice,
RICE_DOMESTICATED_NABOO,rice_domesticated_naboo,Nabooian Domesticated Rice,
RICE_DOMESTICATED_RORI,rice_domesticated_rori,Rori Domesticated Rice,
RICE_DOMESTICATED_TALUS,rice_domesticated_talus,Talusian Domesticated Rice,
RICE_DOMESTICATED_TATOOINE,rice_domesticated_tatooine,Tatooinian Domesticated Rice,
RICE_DOMESTICATED_YAVIN4,rice_domesticated_yavin4,Yavinian Domesticated Rice,
RICE_WILD_CORELLIA,rice_wild_corellia,Corellian Wild Rice,
RICE_WILD_DANTOOINE,rice_wild_dantooine,Dantooine Wild Rice,
RICE_WILD_DATHOMIR,rice_wild_dathomir,Dathomirian Wild Rice,
RICE_WILD_ENDOR,rice_wild_endor,Endorian Wild Rice,
RICE_WILD_LOK,rice_wild_lok,Lokian Wild Rice,
RICE_WILD_NABOO,rice_wild_naboo,Nabooian Wild Rice,
RICE_WILD_RORI,rice_wild_rori,Rori Wild Rice,
RICE_WILD_TALUS,rice_wild_talus,Talusian Wild Rice,
RICE_WILD_TATOOINE,rice_wild_tatooine,Tatooinian Wild Rice,
RICE_WILD_YAVIN4,rice_wild_yavin4,Yavinian Wild Rice,
SEAFOOD_CRUSTACEAN_CORELLIA,seafood_crustacean_corellia,Corellia Crustacean Meat,
SEAFOOD_CRUSTACEAN_DANTOOINE,seafood_crustacean_dantooine,Dantooine Crustacean Meat,
SEAFOOD_CRUSTACEAN_DATHOMIR,seafood_crustacean_dathomir,Dathomirian Crustacean Meat,
SEAFOOD_CRUSTACEAN_ENDOR,seafood_crustacean_endor,Endorian Crustacean Meat,
SEAFOOD_CRUSTACEAN_LOK,seafood_crustacean_lok,Lokian Crustacean Meat,
SEAFOOD_CRUSTACEAN_NABOO,seafood_crustacean_naboo,Nabooian Crustacean Meat,
SEAFOOD_CRUSTACEAN_RORI,seafood_crustacean_rori,Rori Crustacean Meat,
SEAFOOD_CRUSTACEAN_TALUS,seafood_crustacean_talus,Talusian Crustacean Meat,
SEAFOOD_CRUSTACEAN_TATOOINE,seafood_crustacean_tatooine,Tatooinian Crustacean Meat,
SEAFOOD_CRUSTACEAN_YAVIN4,seafood_crustacean_yavin4,Yavinian Crustacean Meat,
SEAFOOD_FISH_CORELLIA,seafood_fish_corellia,Corellian Fish Meat,
SEAFOOD_FISH_DANTOOINE,seafood_fish_dantooine,Dantooine Fish Meat,
SEAFOOD_FISH_DATHOMIR,seafood_fish_dathomir,Dathomirian Fish Meat,
SEAFOOD_FISH_ENDOR,seafood_fish_endor,Endorian Fish Meat,
SEAFOOD_FISH_LOK,seafood_fish_lok,Lokian Fish Meat,
SEAFOOD_FISH_NABOO,seafood_fish_naboo,Nabooian Fish Meat,
SEAFOOD_FISH_RORI,seafood_fish_rori,Rori Fish Meat,
SEAFOOD_FISH_TALUS,seafood_fish_talus,Talusian Fish Meat,
SEAFOOD_FISH_TATOOINE,seafood_fish_tatooine,Tatooinian Fish Meat,
SEAFOOD_FISH_YAVIN4,seafood_fish_yavin4,Yavinian Fish Meat,
SEAFOOD_MOLLUSK_CORELLIA,seafood_mollusk_corellia,Corellia Mollusk Meat,
SEAFOOD_MOLLUSK_DANTOOINE,seafood_mollusk_dantooine,Dantooine Mollusk Meat,
SEAFOOD_MOLLUSK_DATHOMIR,seafood_mollusk_dathomir,Dathomirian Mollusk Meat,
SEAFOOD_MOLLUSK_ENDOR,seafood_mollusk_endor,Endorian Mollusk Meat,
SEAFOOD_MOLLUSK_LOK,seafood_mollusk_lok,Lokian Mollusk Meat,
SEAFOOD_MOLLUSK_NABOO,seafood_mollusk_naboo,Nabooian Mollusk Meat,
SEAFOOD_MOLLUSK_RORI,seafood_mollusk_rori,Rori Mollusk Meat,
SEAFOOD_MOLLUSK_TALUS,seafood_mollusk_talus,Talusian Mollusk Meat,
SEAFOOD_MOLLUSK_TATOOINE,seafood_mollusk_tatooine,Tatooinian Mollusk Meat,
SEAFOOD_MOLLUSK_YAVIN4,seafood_mollusk_yavin4,Yavinian Mollusk Meat,
SOFTWOOD_CONIFER_CORELLIA,softwood_conifer_corellia,Corellian Conifer Wood,
SOFTWOOD_CONIFER_DANTOOINE,softwood_conifer_dantooine,Dantooine Conifer Wood,
SOFTWOOD_CONIFER_DATHOMIR,softwood_conifer_dathomir,Dathomirian Conifer Wood,
SOFTWOOD_CONIFER_ENDOR,softwood_conifer_endor,Endorian Conifer Wood,
SOFTWOOD_CONIFER_LOK,softwood_conifer_lok,Lokian Conifer Wood,
SOFTWOOD_CONIFER_NABOO,softwood_conifer_naboo,Nabooian Conifer Wood,
SOFTWOOD_CONIFER_RORI,softwood_conifer_rori,Rori Conifer Wood,
SOFTWOOD_CONIFER_TALUS,softwood_conifer_talus,Talusian Conifer Wood,
SOFTWOOD_CONIFER_TATOOINE,softwood_conifer_tatooine,Tatooinian Conifer Wood,
SOFTWOOD_CONIFER_YAVIN4,softwood_conifer_yavin4,Yavinian Conifer Wood,
SOFTWOOD_EVERGREEN_CORELLIA,softwood_evergreen_corellia,Corellia Evergreen Wood,
SOFTWOOD_EVERGREEN_DANTOOINE,softwood_evergreen_dantooine,Dantooine Evergreen Wood,
SOFTWOOD_EVERGREEN_DATHOMIR,softwood_evergreen_dathomir,Dathomirian Evergreen Wood,
SOFTWOOD_EVERGREEN_ENDOR,softwood_evergreen_endor,Endorian Evergreen Wood,
SOFTWOOD_EVERGREEN_LOK,softwood_evergreen_lok,Lokian Evergreen Wood,
SOFTWOOD_EVERGREEN_NABOO,softwood_evergreen_naboo,Nabooian Evergreen Wood,
SOFTWOOD_EVERGREEN_RORI,softwood_evergreen_rori,Rori Evergreen Wood,
SOFTWOOD_EVERGREEN_TALUS,softwood_evergreen_talus,Talusian Evergreen Wood,
SOFTWOOD_EVERGREEN_TATOOINE,softwood_evergreen_tatooine,Tatooinian Evergreen Wood,
SOFTWOOD_EVERGREEN_YAVIN4,softwood_evergreen_yavin4,Yavinian Evergreen Wood,
STEEL_ARVESHIAN,steel_arveshian,Hardened Arveshium Steel,
STEEL_BICORBANTIUM,steel_bicorbantium,Crystallized Bicorbantium Steel,
STEEL_CARBONITE,steel_carbonite,Carbonite Steel,
STEEL_CUBIRIAN,steel_cubirian,Cubirian Steel,
STEEL_DITANIUM,steel_ditanium,Ditanium Steel,
STEEL_DURALLOY,steel_duralloy,Duralloy Steel,
STEEL_DURANIUM,steel_duranium,Duranium Steel,
STEEL_KIIRIUM,steel_kiirium,Kiirium Steel,
STEEL_NEUTRONIUM,steel_neutronium,Neutronium Steel,
STEEL_QUADRANIUM,steel_quadranium,Quadranium Steel,
STEEL_RHODIUM,steel_rhodium,Rhodium Steel,
STEEL_THORANIUM,steel_thoranium,Thoranium Steel,
VEGETABLE_BEANS_CORELLIA,vegetable_beans_corellia,Corellian Vegetable Beans,
VEGETABLE_BEANS_DANTOOINE,vegetable_beans_dantooine,Dantooine Vegetable Beans,
VEGETABLE_BEANS_DATHOMIR,vegetable_beans_dathomir,Dathomirian Vegetable Beans,
VEGETABLE_BEANS_ENDOR,vegetable_beans_endor,Endorian Vegetable Beans,
VEGETABLE_BEANS_LOK,vegetable_beans_lok,Lokian Vegetable Beans,
VEGETABLE_BEANS_NABOO,vegetable_beans_naboo,Nabooian Vegetable Beans,
VEGETABLE_BEANS_RORI,vegetable_beans_rori,Rori Vegetable Beans,
VEGETABLE_BEANS_TALUS,vegetable_beans_talus,Talusian Vegetable Beans,
VEGETABLE_BEANS_TATOOINE,vegetable_beans_tatooine,Tatooinian Vegetable Beans,
VEGETABLE_BEANS_YAVIN4,vegetable_beans_yavin4,Yavinian Vegetable Beans,
VEGETABLE_FUNGI_CORELLIA,vegetable_fungi_corellia,Corellian Vegetable Fungus,
VEGETABLE_FUNGI_DANTOOINE,vegetable_fungi_dantooine,Dantooine Vegetable Fungus,
VEGETABLE_FUNGI_DATHOMIR,vegetable_fungi_dathomir,Dathomirian Vegetable Fungus,
VEGETABLE_FUNGI_ENDOR,vegetable_fungi_endor,Endorian Vegetable Fungus,
VEGETABLE_FUNGI_LOK,vegetable_fungi_lok,Lokian Vegetable Fungus,
VEGETABLE_FUNGI_NABOO,vegetable_fungi_naboo,Nabooian Vegetable Fungus,
VEGETABLE_FUNGI_RORI,vegetable_fungi_rori,Rori Vegetable Fungus,
VEGETABLE_FUNGI_TALUS,vegetable_fungi_talus,Talusian Vegetable Fungus,
VEGETABLE_FUNGI_TATOOINE,vegetable_fungi_tatooine,Tatooinian Vegetable Fungus,
VEGETABLE_FUNGI_YAVIN4,vegetable_fungi_yavin4,Yavinian Vegetable Fungus,
VEGETABLE_GREENS_CORELLIA,vegetable_greens_corellia,Corellian Vegetable Greens,
VEGETABLE_GREENS_DANTOOINE,vegetable_greens_dantooine,Dantooine Vegetable Greens,
VEGETABLE_GREENS_DATHOMIR,vegetable_greens_dathomir,Dathomirian Vegetable Greens,
VEGETABLE_GREENS_ENDOR,vegetable_greens_endor,Endorian Vegetable Greens,
VEGETABLE_GREENS_LOK,vegetable_greens_lok,Lokian Vegetable Greens,
VEGETABLE_GREENS_NABOO,vegetable_greens_naboo,Nabooian Vegetable Greens,
VEGETABLE_GREENS_RORI,vegetable_greens_rori,Rori Vegetable Greens,
VEGETABLE_GREENS_TALUS,vegetable_greens_talus,Talusian Vegetable Greens,
VEGETABLE_GREENS_TATOOINE,vegetable_greens_tatooine,Tatooinian Vegetable Greens,
VEGETABLE_GREENS_YAVIN4,vegetable_greens_yavin4,Yavinian Vegetable Greens,
VEGETABLE_TUBERS_CORELLIA,vegetable_tubers_corellia,Corellian Vegetable Tubers,
VEGETABLE_TUBERS_DANTOOINE,vegetable_tubers_dantooine,Dantooine Vegetable Tubers,
VEGETABLE_TUBERS_DATHOMIR,vegetable_tubers_dathomir,Dathomirian Vegetable Tubers,
VEGETABLE_TUBERS_ENDOR,vegetable_tubers_endor,Endorian Vegetable Tubers,
VEGETABLE_TUBERS_LOK,vegetable_tubers_lok,Lokian Vegetable Tubers,
VEGETABLE_TUBERS_NABOO,vegetable_tubers_naboo,Nabooian Vegetable Tubers,
VEGETABLE_TUBERS_RORI,vegetable_tubers_rori,Rori Vegetable Tubers,
VEGETABLE_TUBERS_TALUS,vegetable_tubers_talus,Talusian Vegetable Tubers,
VEGETABLE_TUBERS_TATOOINE,vegetable_tubers_tatooine,Tatooinian Vegetable Tubers,
VEGETABLE_TUBERS_YAVIN4,vegetable_tubers_yavin4,Yavinian Vegetable Tubers,
WATER_VAPOR_CORELLIA,water_vapor_corellia,Corellian Water Vapor,
WATER_VAPOR_DANTOOINE,water_vapor_dantooine,Dantooine Water Vapor,
WATER_VAPOR_DATHOMIR,water_vapor_dathomir,Dathomir Water Vapor,
WATER_VAPOR_ENDOR,water_vapor_endor,Endorian Water Vapor,
WATER_VAPOR_LOK,water_vapor_lok,Lokian Water Vapor,
WATER_VAPOR_NABOO,water_vapor_naboo,Nabooian Water Vapor,
WATER_VAPOR_RORI,water_vapor_rori,Rori Water Vapor,
WATER_VAPOR_TALUS,water_vapor_talus,Talusian Water Vapor,
WATER_VAPOR_TATOOINE,water_vapor_tatooine,Tatooinian Water Vapor,
WATER_VAPOR_YAVIN4,water_vapor_yavin4,Yavinian Water Vapor,
WHEAT_DOMESTICATED_CORELLIA,wheat_domesticated_corellia,Corellian Domesticated Wheat,
WHEAT_DOMESTICATED_DANTOOINE,wheat_domesticated_dantooine,Dantooine Domesticated Wheat,
WHEAT_DOMESTICATED_DATHOMIR,wheat_domesticated_dathomir,Dathomirian Domesticated Wheat,
WHEAT_DOMESTICATED_ENDOR,wheat_domesticated_endor,Endorian Domesticated Wheat,
WHEAT_DOMESTICATED_LOK,wheat_domesticated_lok,Lokian Domesticated Wheat,
WHEAT_DOMESTICATED_NABOO,wheat_domesticated_naboo,Nabooian Domesticated Wheat,
WHEAT_DOMESTICATED_RORI,wheat_domesticated_rori,Rori Domesticated Wheat,
WHEAT_DOMESTICATED_TALUS,wheat_domesticated_talus,Talusian Domesticated Wheat,
WHEAT_DOMESTICATED_TATOOINE,wheat_domesticated_tatooine,Tatooinian Domesticated Wheat,
WHEAT_DOMESTICATED_YAVIN4,wheat_domesticated_yavin4,Yavinian Domesticated Wheat,
WHEAT_WILD_CORELLIA,wheat_wild_corellia,Corellian Wild Wheat,
WHEAT_WILD_DANTOOINE,wheat_wild_dantooine,Dantooine Wild Wheat,
WHEAT_WILD_DATHOMIR,wheat_wild_dathomir,Dathomir Wild Wheat,
WHEAT_WILD_ENDOR,wheat_wild_endor,Endorian Wild Wheat,
WHEAT_WILD_LOK,wheat_wild_lok,Lokian Wild Wheat,
WHEAT_WILD_NABOO,wheat_wild_naboo,Nabooian Wild Wheat,
WHEAT_WILD_RORI,wheat_wild_rori,Rori Wild Wheat,
WHEAT_WILD_TALUS,wheat_wild_talus,Talusian Wild Wheat,
WHEAT_WILD_TATOOINE,wheat_wild_tatooine,Tatooinian Wild Wheat,
WHEAT_WILD_YAVIN4,wheat_wild_yavin4,Yavinian Wild Wheat,
WOOD_DECIDUOUS_CORELLIA,wood_deciduous_corellia,Corellian Deciduous Wood,
WOOD_DECIDUOUS_DANTOOINE,wood_deciduous_dantooine,Dantooine Deciduous Wood,
WOOD_DECIDUOUS_DATHOMIR,wood_deciduous_dathomir,Dathomirian Deciduous Wood,
WOOD_DECIDUOUS_ENDOR,wood_deciduous_endor,Endorian Deciduous Wood,
WOOD_DECIDUOUS_LOK,wood_deciduous_lok,Lokian Deciduous Wood,
WOOD_DECIDUOUS_NABOO,wood_deciduous_naboo,Nabooian Deciduous Wood,
WOOD_DECIDUOUS_RORI,wood_deciduous_rori,Rori Deciduous Wood,
WOOD_DECIDUOUS_TALUS,wood_deciduous_talus,Talusian Deciduous Wood,
WOOD_DECIDUOUS_TATOOINE,wood_deciduous_tatooine,Tatooinian Deciduous Wood,
WOOD_DECIDUOUS_YAVIN4,wood_deciduous_yavin4,Yavinian Deciduous Wood,
